player_name,poss,mp,raptor_offense,raptor_defense,raptor_total
Jaden Ivey,4824,2304,-1.853324944,-3.192499442,-5.045824386
Frank Jackson,9,5,-22.37851914,0.952809213,-21.42570992
Isaiah Jackson,2265,1042,-2.67690103,-0.957716313,-3.634617343
Jaren Jackson Jr.,4310,2007,0.484664691,2.578435734,3.063100425
Justin Jackson,226,107,-6.323845439,-1.679284392,-8.003129831
Quenton Jackson,302,135,-2.287719652,1.290875405,-0.996844248
Reggie Jackson,3436,1675,-2.576659399,-0.294346321,-2.871005721
LeBron James,5487,2573,4.277237803,0.026776829,4.304014631
DaQuan Jeffries,12,5,-17.62851855,19.73277766,2.104259113
Ty Jerome,1739,816,0.006445941,-3.173896138,-3.167450197
Isaiah Joe,3006,1395,2.705630444,0.290048724,2.995679167
Alize Johnson,64,30,-4.512324752,15.11774786,10.60542311
Cameron Johnson,2765,1351,1.154785287,2.6200984,3.774883688
James Johnson,353,162,-7.01716577,-2.116179968,-9.133345738
Jalen Johnson,2361,1098,-0.728360361,1.223725857,0.495365495
Keldon Johnson,4372,2063,0.865248668,-2.811831965,-1.946583297
Keon Johnson,890,416,-3.616222465,-3.391997606,-7.008220071
Stanley Johnson,1015,469,1.098434686,-2.04318929,-0.944754604
Nikola Jokic,6435,3112,9.522495986,3.696240246,13.21873623
Carlik Jones,121,56,-0.241223315,-3.067000355,-3.30822367
Damian Jones,1042,477,-3.192953538,2.022338495,-1.170615043
Derrick Jones Jr.,1888,893,-0.453037197,1.533537009,1.080499812
Herbert Jones,4036,1951,-0.782138091,3.494236699,2.712098609
Kai Jones,1170,550,-4.023591249,0.544143209,-3.47944804
Tre Jones,4249,1984,1.160957883,0.660776001,1.821733884
Tyus Jones,4386,2060,1.313659748,-1.318623184,-0.004963436
DeAndre Jordan,1253,600,-5.149958544,-1.785419994,-6.935378538
Cory Joseph,2543,1227,0.256320866,-1.457778214,-1.201457348
Nikola Jovic,450,217,-3.519753157,-0.870537445,-4.390290602
Johnny Juzang,508,232,-5.742051036,-4.099403205,-9.841454241
Mfiondu Kabengele,71,36,-3.864619988,-6.321475292,-10.18609528
Frank Kaminsky,499,235,-1.484595166,-3.85991834,-5.344513505
Trevor Keels,19,8,-19.08982661,-14.0900246,-33.17985121
Luke Kennard,2975,1422,1.403519659,-0.446304764,0.957214895
Walker Kessler,3600,1703,0.297456334,3.097932798,3.395389133
Braxton Key,21,9,-1.149318913,-0.460603536,-1.609922449
Louis King,63,29,5.302115204,-8.344867791,-3.042752587
Corey Kispert,4370,2093,-0.446205271,-2.07317209,-2.519377361
