offense_shortened,offense_decimal,defense_shortened,defense_decimal,total_shortened,total_decimal
[5.0],[0.012311545000000201],[5.0],[[0.012311545000000201]],[5.0],[0.012311545000000201]
[-2.0],[0.817400007],[-2.0],[[0.817400007]],[-2.0],[0.817400007]
[-4.0],[0.590710477],[-4.0],[[0.590710477]],[-4.0],[0.590710477]
[-2.0],[0.281485733],[-2.0],[[0.281485733]],[-2.0],[0.281485733]
[-1.0],[0.06403234899999999],[-1.0],[[0.06403234899999999]],[-1.0],[0.06403234899999999]
[1.0],[0.84691736],[1.0],[[0.84691736]],[1.0],[0.84691736]
[-1.0],[0.31017649199999997],[-1.0],[[0.31017649199999997]],[-1.0],[0.31017649199999997]
[0.0],[0.650632668],[0.0],[[0.650632668]],[0.0],[0.650632668]
[0.0],[0.502790559],[0.0],[[0.502790559]],[0.0],[0.502790559]
[-3.0],[0.34485730199999987],[-3.0],[[0.34485730199999987]],[-3.0],[0.34485730199999987]
[0.0],[0.801509474],[0.0],[[0.801509474]],[0.0],[0.801509474]
[-4.0],[0.4848043579999999],[-4.0],[[0.4848043579999999]],[-4.0],[0.4848043579999999]
[-1.0],[0.03852395399999997],[-1.0],[[0.03852395399999997]],[-1.0],[0.03852395399999997]
[-2.0],[0.02354187800000007],[-2.0],[[0.02354187800000007]],[-2.0],[0.02354187800000007]
[-1.0],[0.561949367],[-1.0],[[0.561949367]],[-1.0],[0.561949367]
[1.0],[0.47246116799999993],[1.0],[[0.47246116799999993]],[1.0],[0.47246116799999993]
[-4.0],[0.05893874599999993],[-4.0],[[0.05893874599999993]],[-4.0],[0.05893874599999993]
[-2.0],[0.8919986900000001],[-2.0],[[0.8919986900000001]],[-2.0],[0.8919986900000001]
[0.0],[0.375474639],[0.0],[[0.375474639]],[0.0],[0.375474639]
[-2.0],[0.972381441],[-2.0],[[0.972381441]],[-2.0],[0.972381441]
[0.0],[0.439616022],[0.0],[[0.439616022]],[0.0],[0.439616022]
[-2.0],[0.2905742520000001],[-2.0],[[0.2905742520000001]],[-2.0],[0.2905742520000001]
[6.0],[0.9024766499999997],[6.0],[[0.9024766499999997]],[6.0],[0.9024766499999997]
[-10.0],[0.8950116119999993],[-10.0],[[0.8950116119999993]],[-10.0],[0.8950116119999993]
[-2.0],[0.6146810810000001],[-2.0],[[0.6146810810000001]],[-2.0],[0.6146810810000001]
[1.0],[0.055239154999999984],[1.0],[[0.055239154999999984]],[1.0],[0.055239154999999984]
[4.0],[0.836494707],[4.0],[[0.836494707]],[4.0],[0.836494707]
[-1.0],[0.667878669],[-1.0],[[0.667878669]],[-1.0],[0.667878669]
[6.0],[0.4164636579999996],[6.0],[[0.4164636579999996]],[6.0],[0.4164636579999996]
[-2.0],[0.571682034],[-2.0],[[0.571682034]],[-2.0],[0.571682034]
